general http://www.avelinosetas.info/Claves/generos/clave01.html
agaricus http://www.avelinosetas.info/Claves/agaricus/agaricus001.html
agrocybe http://www.avelinosetas.info/Claves/agrocybe/agrocybe01.html
aleuria vacio
amanita http://www.avelinosetas.info/Claves/amanita/amanita01.html
armillaria http://www.avelinosetas.info/Claves/armillaria/armillaria01.html
astraeus vacio
auricularia vacio
auriscalpium vacio
boletopsis http://www.avelinosetas.info/Claves/bolbitius/bolbitius01.html
boletus http://www.avelinosetas.info/Claves/boletus-sec/boletus01.html
bovista vacio
calocera http://www.avelinosetas.info/Claves/calocera/calocera01.html
calvatia vacio
cantharellus http://www.avelinosetas.info/Claves/cantharellus/cantharellus001.html
chalciporus vacio
chroogomphus http://www.avelinosetas.info/Claves/chroogomphus/chroogomphus01.html
clathrus vacio
clavariadelphus http://www.avelinosetas.info/Claves/clavaria/clavaria01.html
clitocybe vacio
clitopilus vacio
collybia vacio
coprinus http://www.avelinosetas.info/Claves/coprinus/coprinus105.html
coriolopsis vacio
corticium vacio
cortinarius http://www.avelinosetas.info/Claves/cortinarius/cortinarius01.html
craterellus vacio
crucibulum vacio
cystoderma http://www.avelinosetas.info/Claves/cystoderma/cystoderma01.html
discina vacio
entoloma vacio
exidia http://www.avelinosetas.info/Claves/exidia/exidia01.html
fomes vacio
fomitopsis vacio
galerina vacio
geastrum http://www.avelinosetas.info/Claves/geastrum/geastrum01.html
gymnopilus vacio
gymnosporangium vacio
gyromitra http://www.avelinosetas.info/Claves/gyromitra/gyromitra01.html
gyroporus http://www.avelinosetas.info/Claves/gyroporus/gyroporus01.html
hebeloma vacio
helvella http://www.avelinosetas.info/Claves/helvella/helvella01.html
hohenbuehelia vacio
hydnellum http://www.avelinosetas.info/Claves/hydnellum/hydnellum01.html
hydnum vacio
hygrocybe vacio
hygrophoropsis vacio
hygrophorus http://www.avelinosetas.info/Claves/hygrophorus/hygrophorus001.html
hypholoma http://www.avelinosetas.info/Claves/hypholoma/hypholoma01.html
inocybe http://www.avelinosetas.info/Claves/inocybe/inocybe01.html
inonotus vacio
laccaria http://www.avelinosetas.info/Claves/laccaria/laccaria01.html
lactarius http://www.avelinosetas.info/Claves/lactarius/lactarius001.html
leccinum http://www.avelinosetas.info/Claves/leccinum/leccinum13.html
lentinus vacio
lepiota vacio
lepista vacio
leucoagaricus vacio
limacella vacio
lycoperdon vacio
lyophyllum vacio
macrolepiota http://www.avelinosetas.info/Claves/macrolepiota/macrolepiota01.html
marasmius http://www.avelinosetas.info/Claves/marasmius/marasmius01.html
melanoleuca vacio
meripilus vacio
mitrophora vacio
morchella vacio
mycena http://www.avelinosetas.info/Claves/mycena/mycena001.html
omphalotus vacio
otidea http://www.avelinosetas.info/Claves/otidea/otidea01.html
panaeolus vacio
paxillus vacio
peziza http://www.avelinosetas.info/Claves/peziza/peziza01.html
phaeolus vacio
phallus vacio
phellinus vacio
pholiota vacio
picoa vacio
pisolithus vacio
pleurotus vacio
pluteus http://www.avelinosetas.info/Claves/pluteos/pluteos04.html
polyporus http://www.avelinosetas.info/Claves/polyporus/polyporus01.html
psathyrella http://www.avelinosetas.info/Claves/psathyrella/psathyrella01.html
pseudoclitocybe vacio
ramaria http://www.avelinosetas.info/Claves/ramaria/ramaria03.html
rhizopogon vacio
russula vacio
sarcodon vacio
sarcoscypha vacio
sarcosphaera vacio
scleroderma vacio
sparassis http://www.avelinosetas.info/Claves/sparassis/sparassis01.html
stereum http://www.avelinosetas.info/Claves/stereum/stereum01.html
stropharia vacio
suillus http://www.avelinosetas.info/Claves/suillus/suillus01.html
terfezia vacio
trametes vacio
tremella vacio
tremiscus vacio
tricholoma http://www.avelinosetas.info/Claves/tricholoma/tricholoma001.html
albobrunneum vacio
tricholoma vacio
equestre vacio
tricholoma vacio
tuber vacio
tulostoma vacio
verpa vacio
volvariella http://www.avelinosetas.info/Claves/volvariella/volvariella01.html
xerocomus http://www.avelinosetas.info/Claves/xerocomus/xerocomus01.html
